,Unnamed: 0,Unnamed: 0.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,13303,0,1,5,0.0,0,0,0,0,40,True,0,4,3,1
1,1,1,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,14628,0,0,1,0.0,0,-1196,549,1745,40,False,0,3,5,2
2,2,2,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,29,0,0,0.0,0.0,2023-08-27T15:30:00Z,0,11,0,0,0,0,3,0,14408,0,2,1,0.0,0,-1033,464,1497,40,True,0,4,4,3
3,3,3,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2023-09-02T16:30:00Z,0,5,0,0,0,0,4,0,14202,0,1,3,0.0,0,-817,304,1121,40,False,0,3,3,4
4,4,4,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,46,0,0,0.0,0.0,2023-09-16T16:30:00Z,0,4,0,0,0,0,5,0,14767,0,0,1,0.0,0,-341,554,895,40,True,0,4,3,5
5,5,5,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2023-09-24T15:30:00Z,0,17,0,0,0,0,6,0,22303,0,8,0,0.0,0,5219,6647,1428,39,False,0,3,2,6
6,6,6,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,66,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,6,0,0,0,0,7,0,27320,0,0,2,0.0,0,3646,6492,2846,39,True,0,4,2,7
7,7,7,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,79,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,19,0,0,0,0,8,0,29456,0,2,2,0.0,0,1456,4121,2665,39,False,0,3,3,8
8,8,8,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,8,0,0,0,0,9,0,30987,0,0,4,0.0,0,1132,3058,1926,39,True,0,4,2,9
9,9,9,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2023-10-28T16:30:00Z,0,20,0,0,0,0,10,0,35152,0,2,2,0.0,0,3156,5206,2050,39,False,0,3,2,10
10,10,10,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,107,0,0,0.0,0.0,2023-11-04T17:30:00Z,0,1,0,0,0,0,11,0,37691,0,0,1,0.0,0,2004,3984,1980,39,True,0,4,4,11
11,11,11,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,113,0,0,0.0,0.0,2023-11-11T17:30:00Z,0,3,0,0,0,0,12,0,38965,0,0,2,0.0,0,1001,3310,2309,39,False,0,3,2,12
12,12,12,0,0,3,0,0.2,581,0.0,0.0,0.0,0.0,127,0,0,0.3,3.0,2023-11-25T15:00:00Z,4,7,0,0,0,0,13,0,39625,0,1,4,0.0,1,380,2304,1924,39,True,0,4,3,13
13,13,13,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2023-12-02T20:00:00Z,0,14,0,0,0,0,14,0,39619,0,0,1,0.0,0,-124,1537,1661,39,True,0,4,3,14
14,14,14,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,144,0,0,0.0,0.0,2023-12-07T19:30:00Z,0,9,0,0,0,0,15,0,40111,0,0,3,0.0,0,259,1699,1440,39,False,0,3,2,15
15,15,15,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,159,0,0,0.0,0.0,2023-12-10T16:30:00Z,0,18,0,0,0,0,16,0,40494,0,1,4,0.0,0,81,1305,1224,39,False,0,3,3,16
16,16,16,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,10,0,0,0,0,17,0,40529,0,0,3,0.0,0,-286,1341,1627,39,True,0,4,2,17
17,17,17,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,12,0,0,0,0,18,0,39452,0,0,1,0.0,0,-1055,606,1661,39,False,0,3,2,18
18,18,18,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,189,0,0,0.0,0.0,2023-12-26T12:30:00Z,0,16,0,0,0,0,19,0,39273,0,3,1,0.0,0,-366,557,923,39,True,0,4,2,19
19,19,19,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,11,0,0,0,0,20,0,38729,0,2,4,0.0,0,-684,522,1206,39,False,0,3,5,20
20,20,20,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,209,0,0,0.0,0.0,2024-01-13T17:30:00Z,0,13,0,0,0,0,21,0,36579,0,3,2,0.0,0,-2262,482,2744,39,True,0,4,5,21
21,21,21,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,211,0,0,0.0,0.0,2024-01-30T20:15:00Z,0,2,0,0,0,0,22,0,35801,0,3,1,0.0,0,-994,230,1224,39,False,0,3,4,22
22,22,22,0,0,0,0,0.0,581,0.0,0.0,0.0,0.0,229,0,0,0.0,0.0,2024-02-03T15:00:00Z,0,12,0,0,0,0,23,0,35432,0,4,4,0.0,0,-444,154,598,39,True,0,4,2,23
