,Unnamed: 0,Unnamed: 0.1,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,gw
0,0,0,0,0,0,0,0.0,750,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,1,0,0,0,0,14,0,0,0,1,2,0.0,0,0,0,0,45,False,0,2,4,14
1,1,1,0,0,0,0,0.0,750,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2023-12-05T19:30:00Z,0,6,0,0,0,0,15,0,138,0,0,1,0.0,0,92,109,17,45,True,0,2,2,15
2,2,2,0,0,0,0,0.0,750,0.0,0.0,0.0,0.0,160,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,16,0,0,0,0,16,0,220,0,1,1,0.0,0,44,94,50,45,True,0,2,2,16
3,3,3,0,0,0,0,0.0,750,0.0,0.0,0.0,0.0,170,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,19,0,0,0,0,17,0,317,0,0,3,0.0,0,34,90,56,45,False,0,2,3,17
4,4,4,0,0,0,0,0.0,750,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2023-12-24T13:00:00Z,0,7,0,0,0,0,18,0,337,0,1,2,0.0,0,-2,41,43,45,True,0,2,3,18
5,5,5,0,0,0,0,0.0,750,0.0,0.0,0.0,0.0,183,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,4,0,0,0,0,19,0,353,0,4,1,0.0,0,-6,24,30,45,False,0,2,3,19
6,6,6,0,0,0,0,0.0,750,0.0,0.0,0.0,0.0,200,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,9,0,0,0,0,20,0,363,0,0,3,0.0,0,-11,26,37,45,True,0,2,2,20
7,7,7,0,0,3,0,0.3,750,0.0,0.0,0.0,0.03,204,0,0,0.6,5.2,2024-01-22T19:45:00Z,2,5,0,0,0,0,21,0,379,0,0,0,0.0,1,-24,55,79,44,False,0,2,3,21
8,8,8,0,0,0,0,0.0,750,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2024-02-01T20:15:00Z,0,14,0,0,0,0,22,0,410,0,4,3,0.0,0,6,34,28,44,True,0,2,3,22
9,9,9,0,0,0,0,0.0,750,0.0,0.0,0.0,0.0,226,0,0,0.0,0.0,2024-02-04T14:00:00Z,0,7,0,0,0,0,23,0,421,0,4,2,0.0,0,5,21,16,44,False,0,2,3,23
